iter	WKappa	MultiClass
0	0.1250004049	2.634240971
1	0.1849087099	2.5555096
2	0.2441653969	2.476703475
3	0.2791515389	2.416194448
4	0.305951857	2.356465304
5	0.3333851342	2.306524322
6	0.3439388178	2.267425724
7	0.3645465406	2.220093438
8	0.403716699	2.153491244
9	0.4174742394	2.116831457
10	0.4291896872	2.081680545
11	0.454515361	2.022294569
12	0.4647345186	1.989632291
13	0.4820863625	1.955587397
14	0.4962256371	1.92523868
15	0.5103541207	1.892528153
16	0.515347652	1.86343997
17	0.5300909513	1.835658661
18	0.5451752209	1.805530333
19	0.5622493291	1.773438951
20	0.5698728722	1.7474241
21	0.5744247237	1.726699505
22	0.5843887099	1.698961089
23	0.5963105803	1.674148053
24	0.6089917356	1.637901728
25	0.6211215329	1.60965561
26	0.6323684329	1.581841962
27	0.6401144989	1.55389874
28	0.6494647712	1.532097458
