iter	Passed	Remaining
0	706	705704
1	1008	503042
2	1102	366393
3	1487	370474
4	1943	386849
5	2571	425988
6	3018	428201
7	3517	436196
8	3996	440018
9	4222	417986
10	4488	403545
11	4960	408428
12	5440	413060
13	5928	417502
14	6359	417621
15	6507	400220
16	6974	403276
17	7478	407986
18	7516	388076
19	8004	392203
20	8476	395153
21	8929	396968
22	9364	397805
23	9745	396317
24	10209	398174
25	10669	399714
26	11097	399912
27	11512	399659
28	11965	400642
29	12409	401236
30	12815	400578
31	13255	400965
32	13788	404032
33	14265	405301
34	14723	405954
35	15164	406080
36	15543	404552
37	15633	395771
38	16075	396104
39	16468	395249
40	16930	395998
41	17296	394533
42	17330	385705
43	17816	387094
44	18281	387968
45	18788	389655
46	19224	389813
47	19616	389065
48	20051	389166
49	20451	388587
50	20926	389400
